Iteration,Insert,Search,Unit: Âµs
0,0.19,0.17
1,0.44,0.3
2,0.71,0.46
3,1.05,0.56
4,1.25,0.74
5,1.59,0.94
6,1.98,1.05
7,2.31,1.26
8,2.6,1.37
9,2.85,1.62
10,3.2,1.71
11,3.39,1.94
12,3.68,1.84
13,3.61,1.97
14,4.2,2.57
15,4.31,2.07
16,4.55,2.57
17,7,3.36
18,4.81,2.41
19,4.94,2.43
20,5.18,2.82
21,5.38,2.63
22,5.38,2.68
23,5.62,2.83
24,5.84,2.92
25,6.07,3.11
26,6.29,3.26
27,6.14,3.23
28,6.19,3.42
29,6.4,5.57
30,7.75,3.9
31,7.19,5.81
32,10.86,5.39
33,12.36,6.88
34,9.64,3.87
35,7.79,3.76
36,8.33,4.19
37,8.43,4.75
38,8.4,4.82
39,9.35,4.72
40,9.88,4.25
41,10.83,5.34
42,10.47,5.62
43,11.51,7.11
44,11.26,5.37
45,11.17,5.41
46,11.17,5.26
47,11.58,5.47
48,11.98,6.54
49,12.7,6.28
50,13.13,6.17
51,12.72,6.58
52,13.51,6.2
53,13.18,7.13
54,13.87,6.99
55,13.93,6.86
56,14.19,7.39
57,14.47,7.82
58,15.47,8.43
59,15.4,7.13
60,15.61,7.45
61,16.09,8.43
62,16.67,8.15
63,16.54,7.99
64,16.7,8.67
65,17.04,7.71
66,17.49,8.74
67,17.51,8.11
68,17.69,8.99
69,18.19,9.27
70,18.9,8.8
71,18.72,8.91
72,17.44,8.38
73,16.8,8.4
74,18.06,8.34
75,17.88,8.47
76,18.6,9.8
77,19.13,8.91
78,19.52,10.85
79,19.83,9.79
80,20.3,9.54
81,20.62,10.15
82,21.2,9.89
83,21.63,11.03
84,21.81,10.53
85,21.98,10.14
86,22.55,10.22
87,22.9,10.92
88,23.08,9.8
89,24.03,11.75
90,23.74,11.28
91,24.7,11.52
92,24.96,11.38
93,25.27,11.19
94,25.06,12.41
95,25.67,12.48
96,26.09,12.15
97,26.3,12.13
98,26.18,11.54
99,26.4,12.34
